CODE;SYMBOL;NAME;DESCR
EUR;€;Euro;European Euro
USD;$;US Dollar;United States Dollar
CAD;$;Canadian Dollar;Canadian Dollar
AUD;$;Australian Dollar;Australian Dollar
GBP;£;Pound;Great Britian Pound
ILS;₪;Shekel;Israeli New Shekel
TRY;₺;Turkish Liras;Turkish Liras
